"name","brand","ean","price","grammage","category","sale","image"
"Fior di Frutta Bio Fruchtaufstrich Zitronen 260g","NA","8001505007190","3.99","260g (1 kg = 15,35 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/0553592/30514863_digital-image.png"
"Hammer Mühle Bio Knuspermüsli Beeren-Mandel 300g","Hammermühle","4015537002898","3.99","300g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/7587126/48227783_digital-image.png"
"Immenhof Bio Blütenhonig flüssig 350g","IMMENHOF","4028700072307","3.99","350g (1 kg = 11,40 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/7178127/27769203_digital-image.png"
"Kattus Aioli Dip Gewürzzubereitung 7g","Kattus","4058700308519","0.79","7g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/9088575/48118793_digital-image.png"
"Krini Grüne Olivencreme 156ml","KRINI","4002015503206","3.29","156ml","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/3391620/49776873_digital-image.png"
"Landliebe Konfitüre extra Pflaume 200g","Landliebe","4002575328868","2.49","200g (1 kg = 12,45 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/0394295/11142610_digital-image.png"
"Langnese Bio Blütenhonig flüssig 375g","Langnese Honig","4023300925701","4.49","375g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8330376/45536918_digital-image.png"
"Langnese Bio-Blütenhonig goldcremig 375g","Langnese Honig","4023300925800","4.49","375g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8328785/45957795_digital-image.png"
"Loriana PiadinaToast 220g","NA","8006040192103","2.49","260g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/7569671/51596499_digital-image.png"
"Maintal Cranberry Konfitüre extra 340g","Maintal","4003740006314","2.29","340g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/3991636/24575380_digital-image.png"
"Maintal Fruchtaufstrich Hagebutte 200g","Maintal","4003740008820","2.69","200g (1 kg = 13,45 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8454173/32805426_digital-image.png"
"Maintal Fruchtaufstrich Sauerkirsche 200g","Maintal","4003740008844","2.69","200g (1 kg = 13,45 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/7990178/47474537_digital-image.png"
"Maintal Himbeer-Fruchtaufstrich 50% weniger Zucker 200g","Maintal","4003740008837","2.69","200g (1 kg = 13,45 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/7989576/48817114_digital-image.png"
"Maintal Quitten Gelee 220g","Maintal","4003740006079","2.79","220g (1 kg = 12,68 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/1251942/17705350_digital-image.png"
"Marziale Apfel-Mandel-Törtchen 230g","Marziale Coolinaria GmbH","4058898202101","5.19","230g (1 kg = 22,57 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/3558328/33040581_digital-image.png"
"Marziale Diplomatiche Blätterteig & Biskuit gefüllt 2x160g","Marziale Coolinaria GmbH","4058898202163","3.99","2x160g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/3558357/42211182_digital-image.png"
"Marziale Pasticceria Mini Pastiera Mürbeteigkuchen 100g","Marziale Coolinaria GmbH","4058898202040","4.19","2x100g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/3558356/49410484_digital-image.png"
"Marziale Sbrodolone Brandtteig mit Sahnecreme 170g","Marziale Coolinaria GmbH","4058898201999","4.19","170g (1 kg = 24,65 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8643635/34818793_digital-image.png"
"Poensgen Mais-Knäckebrot glutenfrei 75g","Poensgen","4250208803101","1.19","75g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/3300882/46047771_digital-image.png"
"Rigoni di Asiago Bio Haselnuss-Nougat-Creme 250g","Rigoni di Asiago","8052575090605","4.99","250g (1 kg = 19,96 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8953187/41457314_digital-image.png"
"Rigoni di Asiago Bio Mandarine mit Kurkuma 260g","Rigoni di Asiago","8001505003178","3.99","260g (1 kg = 15,35 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8100556/31379209_digital-image.png"
"Rinatura Bio Apfel Meerrettich Brotaufstich 120g","Rinatura","4013200257484","2.69","120g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/3276672/49041434_digital-image.png"
"Santa Maria Tortilla Strips Crunchy & Cheesy 185g","Santa Maria","7311312008732","2.59","185g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/9607466/50427099_digital-image.png"
"Seitenbacher Ananas-Riegel 50g","Seitenbacher","4008391039612","1.99","50g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8791512/44018928_digital-image.png"
"Seitenbacher Apfel Hafer Müsli 750g","Seitenbacher","4008391041905","6.99","750g (1 kg = 9,32 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8694096/40643554_digital-image.png"
"Seitenbacher Bio knackige Mischung 500g","Seitenbacher","4008391003583","5.99","500g (1 kg = 11,98 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/2498562/27393423_digital-image.png"
"Seitenbacher Bio-Müsli Cranberry-Mischung 500g","Seitenbacher","4008391003590","5.89","500g (1 kg = 11,78 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/2502170/28849217_digital-image.png"
"Slottke Bio Holzofenbrot geviertelt 450g","Slottke","4262388930775","1.62","1 Stück ca. 450 g (1 kg = 3,59 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/9581086/51597785_digital-image.png"
"Staud's Konfitüre Brombeere 250g","NA","90084720","5.49","250g (1 kg = 21,96 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8331480/34098117_digital-image.png"
"Staud's Marille mit Marillenbrand 250g","NA","90084850","5.89","250g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8325910/50522847_digital-image.png"
"Staud's Wien Bio Erdbeere 250g","NA","9008400305276","6.59","250g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8079635/50523633_digital-image.png"
"Staud's Wien Bio Himbeere 250g","NA","9008400305283","6.59","250g (1 kg = 26,36 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8304851/34088400_digital-image.png"
"Staud's Wien Himbeere 250g","NA","90084737","5.49","250g (1 kg = 21,96 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8360430/29173635_digital-image.png"
"Staud's Wien Holler Pflaume Apfel 250g","NA","90084775","5.49","250g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8360111/51411189_digital-image.png"
"Stauds Wien Orange 250g","NA","9008400300073","5.49","250g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8404810/50000210_digital-image.png"
"Tofutown Bio Vegane Streichcreme Hokkaido Cashew 180g","NA","4019738121372","2.19","180g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/7780305/49791751_digital-image.png"
"Tofutown Bio vegane Streichcreme mit Aubergine 180g","NA","4019738121303","2.19","180g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8779235/49259081_digital-image.png"
"Tofutown Bio-Vegan Streichcreme Papaya Curry 180g","NA","4019738121341","2.19","180g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8777206/50089128_digital-image.png"
"Verival Bio Haferflocken 500g","Verival","9004617063060","2.49","500g (1 kg = 4,98 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/2167536/23054406_digital-image.png"
"Verival Bio Haferkleie 500g","Verival","9004617063527","3.69","500g (1 kg = 7,38 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/2167538/23054409_digital-image.png"
"Verival Bio Kokos-Marille Müsli 325g","Verival","9004617062902","4.99","325g (1 kg = 15,35 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/2167513/23054189_digital-image.png"
"Verival Bio Mais Quinoa Waffeln glutenfrei 100g","Verival","9004617065026","1.99","100g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/2458409/48822303_digital-image.png"
"Ülker Peki Caramel 210g","ÜLKER","8690504082217","2.49","210g","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/3311266/48679445_digital-image.png"
"ja! Sonntags Brötchen 8 Stück","ja!","4337256424912","1.19","560g (1 kg = 2,13 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8741482/35884544_digital-image.png"
"ja! Baguette Brötchen 300g","ja!","4337256389006","0.69","300g (1 kg = 2,30 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/7837452/34920020_digital-image.png"
"ja! Bagels mit Sesam 340g","ja!","4337256739085","1.59","340g (1 kg = 4,68 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8556568/33246712_digital-image.png"
"ja! Hot Dog Rolls 250g","ja!","4337256236737","0.99","250g (1 kg = 3,96 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/7914493/33549436_digital-image.png"
"ja! Blütenhonig zart-fließend 500g","ja!","4337256372138","2.39","500g (1 kg = 4,78 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/7845005/35072447_digital-image.png"
"ja! Nougat Hörnchen 240g","ja!","4337256432641","1.59","240g (1 kg = 6,63 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/7959110/31916960_digital-image.png"
"ja! Müsli-Riegel Schokolade-Banane 8x25g","ja!","4337256219501","1.29","8x25g (1 kg = 6,45 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/7224856/27997912_digital-image.png"
"ja! Butter-Toastbrot 500g","ja!","4337256102100","0.79","500g (1 kg = 1,58 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/5349664/3365040_digital-image.png"
"ja! American Sandwich 750g","ja!","4337256103930","1.09","750g (1 kg = 1,45 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/5351065/33058923_digital-image.png"
"ja! Vollkorntoastbrot 500g","ja!","4337256100212","0.79","500g (1 kg = 1,58 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8357472/30349591_digital-image.png"
"ja! Mehrkornbrötchen 8 Stück 560g","ja!","4337256439923","1.29","560g (1 kg = 2,30 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/7914158/33057923_digital-image.png"
"ja! Mehrkorn Toastbrötchen 335g","ja!","4337256546737","0.99","335g (1 kg = 2,96 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8861007/37700726_digital-image.png"
"ja! Cornflakes 500g","ja!","4337256850032","1.45","500g (1 kg = 2,90 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/2134122/22310456_digital-image.png"
"ja! Hamburger Brötchen 6 Stück 300g","ja!","4337256228336","0.99","300g (1 kg = 3,30 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8568267/33563195_digital-image.png"
"ja! Bauernbrot Schnitten 500g","ja!","4337256183154","0.89","500g (1 kg = 1,78 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/5350522/2440780_digital-image.png"
"ja! Zarte Haferflocken 500g","ja!","4337256415965","0.69","500g (1 kg = 1,38 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/6343171/6209270_digital-image.png"
"ja! Kernige Haferflocken 500g","ja!","4337256412872","0.69","500g (1 kg = 1,38 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/1913987/21126263_digital-image.png"
"ja! Sour Cream cremig mild 200g","ja!","4337256957687","0.65","200g (1 kg = 3,25 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8617573/33721574_digital-image.png"
"ja! Honey Wheats 750g","ja!","4337256794633","2.49","750g (1 kg = 3,32 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/0891929/27400001_digital-image.png"
"ja! Zaziki 500g","ja!","4337256415958","1.65","500g (1 kg = 3,30 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/2815942/25280353_digital-image.png"
"ja! Feiner Brotaufstrich Eiersalat 150g","ja!","4337256153706","1.29","150g (1 kg = 8,60 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/2166155/23586592_digital-image.png"
"ja! Nuss-Nougat-Creme 400g","ja!","4337256609326","1.69","400g (1 kg = 4,23 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/0166440/26279339_digital-image.png"
"ja! Zaziki 200g","ja!","4337256959582","0.65","200g (1 kg = 3,25 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8618614/33721577_digital-image.png"
"ja! Knäckebrot Sesam 250g","ja!","4337256745239","1.39","250g (1 kg = 5,56 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/9015171/42814911_digital-image.png"
"ja! Schoko Müsli 750g","ja!","4337256951784","2.29","750g (1 kg = 3,05 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/9903504/49331788_digital-image.png"
"ja! Erdnussbutter Creamy 350g","ja!","4337256850995","1.89","350g (1 kg = 5,40 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/7571397/45752182_digital-image.png"
"ja! Fruchtschnitten Waldfrucht 150g","ja!","4337256423861","1.49","150g (1 kg = 9,93 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8025570/30524315_digital-image.png"
"ja! Weizentoastbrötchen 335g","ja!","4337256544351","0.99","335g (1 kg = 2,96 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8937620/37700866_digital-image.png"
"ja! Brunchmix Weizenbrötchen zum Fertigbacken 540g 6 Stück","ja!","4337256882095","1.29","540g (1 kg = 2,39 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/9970505/47337208_digital-image.png"
"ja! Fruchtschnitten Cranberry-Kirsch 150g","ja!","4337256427951","1.49","150g (1 kg = 9,93 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8037873/30524306_digital-image.png"
"ja! Westfälischer Pumpernickel 500g","ja!","4337256213363","0.99","500g (1 kg = 1,98 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8560963/33225284_digital-image.png"
"ja! Roggen-Vollkornbrot 500g","ja!","4337256175036","0.79","500g (1 kg = 1,58 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8365493/30629046_digital-image.png"
"ja! Müsli-Riegel Schokolade 8x25g","ja!","4337256486293","1.29","8x25g (1 kg = 6,45 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/7228581/27997909_digital-image.png"
"ja! Pflaumenmus fein gewürzt 450g","ja!","4337256708982","1.29","450g (1 kg = 2,87 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/7396155/24726670_digital-image.png"
"ja! Rührteig-Tortenboden 300g","ja!","4337256754224","1.79","300g (1 kg = 5,97 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/7621888/42584816_digital-image.png"
"ja! Frischeiwaffeln 250g","ja!","4337256345026","1.49","250g (1 kg = 5,96 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8656774/34995027_digital-image.png"
"ja! Choco Chips 750g","ja!","4337256782531","2.49","750g (1 kg = 3,32 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/0891922/5881530_digital-image.png"
"ja! Nougat-Bits 750g","ja!","4070308015347","2.49","750g (1 kg = 3,32 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/0891928/43664421_digital-image.png"
"ja! Muffins Schoko & Stracciatella 360g","ja!","4337256356343","1.89","360g (1 kg = 5,25 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8667375/34912190_digital-image.png"
"ja! Fruchtaufstrich Erdbeere 450g","ja!","4337256559362","1.29","450g (1 kg = 2,87 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8880363/38732013_digital-image.png"
"ja! Knusper Müsli weniger süss 600g","ja!","4337256371520","2.29","600g (1 kg = 3,82 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8395317/30612909_digital-image.png"
"ja! Knusper Müsli Schoko 600g","ja!","4337256883443","2.29","600g (1 kg = 3,82 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8024719/30613036_digital-image.png"
"ja! Cerealien Creamy Bits 500g","ja!","4337256486057","2.49","500g (1 kg = 4,98 €)","Brot, Cerealien & Aufstriche","False","https://img.rewe-static.de/8787703/36469192_digital-image.png"
"Newgene Covid-19 Antigen Selbsttest 1 Stück","NA","6974108060201","1.65","1 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/7828199/35450815_digital-image.png"
"Zewa bewährt Toilettenpapier 3-lagig 8x150 Blatt","Zewa","7322541442488","2.99","8x150 Stück","Drogerie & Kosmetik","True","https://img.rewe-static.de/7849649/36469207_digital-image.png"
"Hakle Traumweich Toilettenpapier 4-lagig 8x130 Blatt","Hakle","4260344220106","3.99","8x130 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/2710021/907560_digital-image.png"
"Tempo Taschentücher Original Box 4-lagig 100 Tücher","Tempo","7322541403113","2.35","100 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/8631188/38529482_digital-image.png"
"Odol-med3 Zahncreme Standard 125ml","Odol-med3","5054563191489","1.79","125ml (1 l = 14,32 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/7991177/23128230_digital-image.png"
"REWE Beste Wahl Taschentücher-Box 100 Stück","REWE Beste Wahl","4337256258401","0.95","100 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/1953777/31563763_digital-image.png"
"Zewa Smart Toilettenpapier ohne Hülse 4x300 Blatt","Zewa","7322541147741","4.49","4x300 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/7218314/27716491_digital-image.png"
"Zewa Ultra Soft Toilettenpapier 4-lagig 8x150 Blatt","Zewa","7322541459691","4.89","8x150 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/7857477/34127036_digital-image.png"
"natürlich ECO Recycling Toilettenpapier 4-lagig 8x160 Blatt","natürlich ECO","4337256753586","3.79","8x160 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/7832969/37337192_digital-image.png"
"REWE Beste Wahl Deluxe-Toilettenpapier 5-lagig 6x129 Blatt","REWE Beste Wahl","4337256080453","3.79","6x129 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/1387339/23849552_digital-image.png"
"Today Seife Milch & Honig Nachfüllbeutel 750ml","Today","22386939","0.75","750ml (1 l = 1 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/7133953/28060859_digital-image.png"
"Tempo feuchte Toilettentücher sanft & pflegend 2x42 Tücher","Tempo","7322540907643","3.29","2x42 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/0904762/14922880_digital-image.png"
"Tempo feuchte Toilettentücher sanft & pflegend 42 Tücher","Tempo","7322540907551","1.89","42 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/3285069/26772245_digital-image.png"
"Colgate Zahnbürste Extra Clean Mittel 3 Stück","Colgate","8714789365152","1.99","3 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/0301429/10037330_digital-image.png"
"Tempo Taschentücher Original Würfel 4-lagig 60 Tücher","Tempo","7322541409276","2.35","60 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/8633831/40945929_digital-image.png"
"Hakle Klassisch Weiß Toilettenpapier 3-lagig 8x150 Blatt","Hakle","4260344220076","3.79","8x150 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/1214080/1149440_digital-image.png"
"Zewa Ultra Soft Toilettenpapier 4-lagig 16x150 Blatt","Zewa","7322541459905","9.49","16x150 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/8660709/35230348_digital-image.png"
"Tempo Taschentücher klassik 4-lagig, 15x10 Tücher","Tempo","7322540786514","2.35","15x10 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/4634985/27133815_digital-image.png"
"Hakle Sanft & Sicher Toilettenpapier 4-lagig 8x130 Blatt","Hakle","4260344220144","3.99","8x130 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/3793281/23245864_digital-image.png"
"Danke Toilettenpapier 3-lagig 8x150 Blatt","Danke","7322542035917","2.99","8x150 Stück","Drogerie & Kosmetik","True","https://img.rewe-static.de/9004340/39280567_digital-image.png"
"NIVEA Pflegedusche Creme Sensitiv 250ml","NIVEA","4006000137780","2.25","250ml (1 l = 9 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/8748736/36084404_digital-image.png"
"Signal Zahnpasta Kariesschutz 75ml","Signal","8720181603167","0.99","75ml (1 l = 13,20 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/1411739/20349891_digital-image.png"
"Tempo Taschentücher klassik 4-lagig, 30x10 Tücher","Tempo","7322540788709","3.85","30x10 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/0350770/26743424_digital-image.png"
"L'Oréal Men Expert Duschgel&Shampoo Barber Club Zedernholzöl 250ml","L'Oréal Paris","3600524036607","1.99","250ml (1 l = 7,96 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/8914510/37721906_digital-image.png"
"Colgate Zahncreme Sensation White 75ml","Colgate","8718951312432","1.99","75ml (1 l = 26,53 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/1930761/2532560_digital-image.png"
"Head & Shoulders Anti-Schuppen Shampoo Classic Clean 300ml","Head & Shoulders","8001090890054","4.45","300ml (1 l = 14,83 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/2952278/30799120_digital-image.png"
"Cottonelle Feuchtes Toilettenpapier Sensitiv Pflegend 84 Stück","Cottonelle","5029053583976","2.99","84 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/9953541/45102798_digital-image.png"
"Dove Men+Care Deo Spray Clean Comfort Anti-Transpirant 150ml","Dove","8712561254595","2.69","150ml (1 l = 17,93 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/2103542/22156730_digital-image.png"
"Elmex Kinder-Zahnpasta 2-6 Jahre 50ml","Elmex","8718951271234","3.49","50ml (1 l = 69,80 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/1309939/21529353_digital-image.png"
"Schwarzkopf Taft Haarspray Power Halt 5 250ml","taft","4015100810066","3.95","250ml (1 l = 15,80 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/8588550/32561428_digital-image.png"
"Today Flüssigseife Nachfüllbeutel Aqua 750ml","Today","22387608","0.75","750ml (1 l = 1 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/7133194/28096493_digital-image.png"
"Elmex Kinder-Zahnpasta Junior 6-12 Jahre","Elmex","4007965146008","3.99","75ml (1 l = 53,20 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/0108578/2423480_digital-image.png"
"Odol-med3 Zahncreme White&Shine 75ml","Odol-med3","5054563104144","2.49","75ml (1 l = 33,20 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/8646640/33010421_digital-image.png"
"Head & Shoulders Anti-Schuppen Shampoo Apple Fresh 300ml","Head & Shoulders","8001090891334","4.45","300ml (1 l = 14,83 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/2952284/25508620_digital-image.png"
"Always Slipeinlagen Daily Protect Extra Long 40 Stück","Always","8006540688977","3.19","40 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/7182584/42659170_digital-image.png"
"Dove Deo Spray Original Anti-Transpirant 150ml","Dove","8712561315975","2.69","150ml (1 l = 17,93 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/2103553/22072171_digital-image.png"
"L'Oréal Men Expert Duschgel & Shampoo Pure Carbon 5in1 250ml","L'Oréal Paris","3600524036638","1.99","250ml (1 l = 7,96 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/8848202/37261986_digital-image.png"
"Zewa Ultra Senses Toilettenpapier Mandelblüte 4-lagig 8x135 Blatt","Zewa","7322541748917","4.89","8x135 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/8783423/36543825_digital-image.png"
"Dove Waschstück Beauty Cream Bar Seife 90g","Dove","8720182264664","1.49","90g (1 kg = 16,56 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/8761593/36151025_digital-image.png"
"Carefree Slipeinlagen Cotton Feel Flexiform 56 Stück","Carefree","3574661482194","2.95","56 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/8761587/36637214_digital-image.png"
"Today Bio-Wattestäbchen mit Papierschaft 160 Stück","Today","21062025","0.45","160 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/8212758/28879022_digital-image.png"
"meridol Zahnpasta Zahnfleischschutz antibakteriell 75ml","Meridol","7610108059461","4.79","75ml (1 l = 63,87 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/0139408/11790280_digital-image.png"
"Sensodyne Zahncreme Sensitiv Fluorid 75ml","Sensodyne","5054563207296","2.49","75ml (1 l = 33,20 €)","Drogerie & Kosmetik","True","https://img.rewe-static.de/5103290/1666220_digital-image.png"
"Elmex Zahnpasta Sensitive 75ml","Elmex","7610108059249","4.79","75ml (1 l = 63,87 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/7294069/11790330_digital-image.png"
"NIVEA Men Duschgel Sensitive 3in1 250ml","NIVEA","4006000063713","2.25","250ml (1 l = 9 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/7798887/36084371_digital-image.png"
"Kleenex Taschentücher Balsam Box 56 Stück","Kleenex","5029053579405","1.79","56 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/8681388/34589971_digital-image.png"
"Sebamed Frische Dusche 400ml","Sebamed","4103040341013","4.99","400ml (1 l = 12,48 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/1325191/21046531_digital-image.png"
"NIVEA Pflegeseife Creme Soft 250ml","NIVEA","4005808807000","1.79","250ml (1 l = 7,16 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/5107288/23449879_digital-image.png"
"Sensodyne Zahncreme ProSchmelz 75ml","Sensodyne","5054563209238","4.49","75ml (1 l = 59,87 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/7997312/31884370_digital-image.png"
"Bübchen Shampoo & Duschgel Sportsfreund 230ml","Bübchen","4065331001207","1.79","230ml (1 l = 7,78 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/8668498/34468936_digital-image.png"
"Q-Tips Pflegestäbchen 160 Stück","Q-tips","4000576027230","1.39","160 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/8312056/29442665_digital-image.png"
"Palmolive Flüssigseife Aquarium 300ml","Palmolive","8003520013040","1.49","300ml (1 l = 4,97 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/2629976/43147162_digital-image.png"
"NIVEA Men Duschgel Sport 3in1 250ml","NIVEA","4006000063676","2.25","250ml (1 l = 9 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/8746981/36085595_digital-image.png"
"Rewe Beste Wahl Feuchtes Toilettenpapier Sensitiv 50 Stück","REWE Beste Wahl","4388860462968","1.29","50 Stück","Drogerie & Kosmetik","False","https://img.rewe-static.de/8022066/31025827_digital-image.png"
"Axe Duschgel Dark Temptation 250ml","Axe","8710447276570","2.59","250ml (1 l = 10,36 €)","Drogerie & Kosmetik","False","https://img.rewe-static.de/0735018/27629411_digital-image.png"
