"name","brand","ean","price","grammage","category","sale","image"
"Vivess Mignon LR6 AA 1,5V Batterien 4 Stück","Vivess","4337256725200","1.79","4 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9003182/43852629_digital-image.png"
"Glade Duftspray Sensual Sandalwood & Jasmine 300ml","Glade","5000204405644","2.99","300ml (1 l = 9,97 €)","Haus & Freizeit","False","https://img.rewe-static.de/9837863/50090408_digital-image.png"
"Vivess Office Kopierpapier A4 500 Blatt","Vivess","4260074848205","5.49","500 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9893127/49478565_digital-image.png"
"Vivess Micro AAA LR03 1,5V Batterien 4 Stück","Vivess","4337256725415","1.79","4 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7636788/43852650_digital-image.png"
"Bic Feuerzeug Maxi 2 Stück","Bic","3086126642727","2.29","2 Stück","Haus & Freizeit","False","https://img.rewe-static.de/0185066/5403810_digital-image.png"
"Febreze 3Volution Lufterfrischer Nachfüllflakon Lenor Aprilfrisch 20ml","Febreze","8700216483162","5.99","20ml (1 l = 299,50 €)","Haus & Freizeit","False","https://img.rewe-static.de/9967573/45231373_digital-image.png"
"Febreze Bad Lufterfrischer Lenor Aprilfrisch 8ml","Febreze","8700216657075","3.99","8ml","Haus & Freizeit","False","https://img.rewe-static.de/9886921/49427792_digital-image.png"
"REWE Beste Wahl Buchen Grillbriketts 3kg","REWE Beste Wahl","4337256558723","5.99","3kg (1 kg = 2 €)","Haus & Freizeit","False","https://img.rewe-static.de/7715755/39067155_digital-image.png"
"REWE Beste Wahl Düngestäbchen 30 Stück","REWE Beste Wahl","4337256328333","1.09","30 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8652016/35861510_digital-image.png"
"Glade Touch & Fresh Minispray Nachfüller Ocean Adventure","Glade","5000204076844","2.29","10ml (1 l = 229 €)","Haus & Freizeit","False","https://img.rewe-static.de/8277519/29117501_digital-image.png"
"Vivess Teelichter 30 Stück","Vivess","4337256506922","3.99","30 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8904380/37921458_digital-image.png"
"Air Wick Duftgel Blütenfrische 150g","Air Wick","4002448027225","1.99","150g (1 kg = 13,27 €)","Haus & Freizeit","False","https://img.rewe-static.de/5047463/5405590_digital-image.png"
"Air Wick Duftgel Himmelsfrische 150g","Air Wick","4002448026167","1.99","150g (1 kg = 13,27 €)","Haus & Freizeit","False","https://img.rewe-static.de/5047340/23322200_digital-image.png"
"Vivess Fliegenklatsche 1 Stück","Vivess","4388860585636","0.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8099805/30524562_digital-image.png"
"Febreze Lufterfrischer Morgentau Extra Stark 185ml","Febreze","8700216239011","3.99","185ml (1 l = 21,57 €)","Haus & Freizeit","False","https://img.rewe-static.de/9059707/42877215_digital-image.png"
"Luftschlangen 3 Stück","NA","194099013710","1.49","3 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8400803/32008029_digital-image.png"
"Vivess Collegeblock A4 kariert 80 Blatt","Vivess","4015291008105","2.19","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/2864485/31072820_digital-image.png"
"Vivess Collegeblock A5 kariert","Vivess","4015291008020","1.49","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/2864483/31072627_digital-image.png"
"UHU Sekundenkleber Minis 3x1g","Uhu","4026700508208","3.29","3x1g","Haus & Freizeit","False","https://img.rewe-static.de/1439720/23984640_digital-image.png"
"Vivess Collegeblock A4 liniert 80 Blatt","Vivess","4015291008068","2.19","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/2864484/31072851_digital-image.png"
"REWE Beste Wahl Öko Grill + Kamin Anzünder 32 Stück","REWE Beste Wahl","4337256269407","2.99","32 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8598425/34487870_digital-image.png"
"Air Wick Automatisches Duftspray Freshmatic Max Nachfüller Sommervergnügen 250ml","Air Wick","4251758415325","4.99","250ml (1 l = 19,96 €)","Haus & Freizeit","False","https://img.rewe-static.de/8992590/39542956_digital-image.png"
"REWE Beste Wahl Kokosblumenerde 10l","REWE Beste Wahl","4388844213050","2.49","0,60kg (1 kg = 4,15 €)","Haus & Freizeit","False","https://img.rewe-static.de/3013023/32740168_digital-image.png"
"Pokemon Sammelkarten ab 6 Jahre","NA","820650455841","9.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8998542/43522116_digital-image.png"
"Aeroxon Lebensmittelmotten-Box 2 Stück","Aeroxon","4027600447512","4.69","2 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9219760/44772624_digital-image.png"
"Bic Stabfeuerzeug Megalighter 1 Stück","Bic","3086126788388","2.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/0271517/25861428_digital-image.png"
"Air Wick Automatisches Duftspray Freshmatic Max Nachfüller Tag am Meer 250ml","Air Wick","4251758422422","4.99","250ml (1 l = 19,96 €)","Haus & Freizeit","False","https://img.rewe-static.de/8914094/39730568_digital-image.png"
"Vivess Streichhölzer lang 45 Stück","Vivess","4337256577830","0.99","45 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8884653/39252105_digital-image.png"
"Febreze Lufterfrischer 3Volution Duftstecker Gerät","Febreze","8001090839305","1.99","20ml","Haus & Freizeit","False","https://img.rewe-static.de/7267171/27931417_digital-image.png"
